"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN RABI CONSUMPTION (tons)","PHOSPHATE RABI CONSUMPTION (tons)","POTASH RABI CONSUMPTION (tons)","TOTAL RABI CONSUMPTION (tons)"
"201","2016","12","Uttar Pradesh","Moradabad","53711.0","23165.0","3986.0","80862.0"
"201","2017","12","Uttar Pradesh","Moradabad","55324.0","16107.0","2864.0","74294.0"
"202","2010","12","Uttar Pradesh","Shahjahanpur","46285.0","10863.0","2762.0","59910.0"
"202","2011","12","Uttar Pradesh","Shahjahanpur","46475.0","10428.0","2024.0","58927.0"
"202","2012","12","Uttar Pradesh","Shahjahanpur","45208.0","16111.0","1165.0","62484.0"
"202","2013","12","Uttar Pradesh","Shahjahanpur","38591.0","12291.0","1581.0","52463.0"
"202","2014","12","Uttar Pradesh","Shahjahanpur","43076.0","13223.0","2915.0","59214.0"
"202","2015","12","Uttar Pradesh","Shahjahanpur","33445.0","12695.0","2788.0","48928.0"
"202","2016","12","Uttar Pradesh","Shahjahanpur","39385.0","16986.0","2922.0","59293.0"
"202","2017","12","Uttar Pradesh","Shahjahanpur","51297.0","20901.0","2684.0","74882.0"
"203","2010","12","Uttar Pradesh","Pilibhit","27869.0","7966.0","3215.0","39050.0"
"203","2011","12","Uttar Pradesh","Pilibhit","30091.0","7293.0","1322.0","38706.0"
"203","2012","12","Uttar Pradesh","Pilibhit","30703.0","10942.0","791.0","42436.0"
"203","2013","12","Uttar Pradesh","Pilibhit","26209.0","8348.0","1074.0","35631.0"
"203","2014","12","Uttar Pradesh","Pilibhit","29255.0","8980.0","1980.0","40215.0"
"203","2015","12","Uttar Pradesh","Pilibhit","22714.0","8622.0","1894.0","33230.0"
"203","2016","12","Uttar Pradesh","Pilibhit","26748.0","11536.0","1985.0","40269.0"
"203","2017","12","Uttar Pradesh","Pilibhit","29562.0","8829.0","1793.0","40184.0"
"204","2010","12","Uttar Pradesh","Rampur","15077.0","5017.0","1904.0","21998.0"
"204","2011","12","Uttar Pradesh","Rampur","16850.0","2296.0","318.0","19464.0"
"204","2012","12","Uttar Pradesh","Rampur","26541.0","9459.0","684.0","36684.0"
"204","2013","12","Uttar Pradesh","Rampur","22656.0","7216.0","928.0","30800.0"
"204","2014","12","Uttar Pradesh","Rampur","25289.0","7763.0","1711.0","34763.0"
"204","2015","12","Uttar Pradesh","Rampur","19635.0","7453.0","1637.0","28725.0"
"204","2016","12","Uttar Pradesh","Rampur","23122.0","9972.0","1716.0","34810.0"
"204","2017","12","Uttar Pradesh","Rampur","19625.0","3464.0","758.0","23847.0"
"205","2010","12","Uttar Pradesh","Bijnor","22461.0","7286.0","1209.0","30956.0"
"205","2011","12","Uttar Pradesh","Bijnor","24346.0","7234.0","959.0","32539.0"
"205","2012","12","Uttar Pradesh","Bijnor","45414.0","16185.0","1170.0","62769.0"
"205","2013","12","Uttar Pradesh","Bijnor","38766.0","12347.0","1588.0","52701.0"
"205","2014","12","Uttar Pradesh","Bijnor","43272.0","13283.0","2928.0","59483.0"
"205","2015","12","Uttar Pradesh","Bijnor","33597.0","12753.0","2801.0","49151.0"
