clock,variant,view,c_value,v13_weight,development_auc,development_brier,selection_score
jan15,full,response_tabular,0.1,0.4,0.7183535178777394,0.20669916672169975,0.6770136845333994
jan15,full,response_tabular,0.1,0.45,0.7070357554786622,0.20991632267627608,0.6650524909434069
jan15,full,response_tabular,0.1,0.5,0.694708765859285,0.21365322315135224,0.6519781212290146
jan15,full,response_tabular,0.5,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,full,response_tabular,0.5,0.05,0.7717704728950404,0.19757192498663945,0.7322560878977126
jan15,full,response_tabular,0.5,0.1,0.7744377162629758,0.19633880117545385,0.7351699560278849
jan15,full,response_tabular,0.5,0.15000000000000002,0.7737168396770474,0.1959733503895238,0.7345221695991426
jan15,full,response_tabular,0.5,0.2,0.7662197231833909,0.19647557262884918,0.7269246086576211
jan15,full,response_tabular,0.5,0.25,0.7562716262975779,0.19784546789343008,0.716702532718892
jan15,full,response_tabular,0.5,0.30000000000000004,0.7451701268742791,0.20008303618326653,0.7051535196376257
jan15,full,response_tabular,0.5,0.35000000000000003,0.7314013840830449,0.2031882774983584,0.6907637285833732
jan15,full,response_tabular,0.5,0.4,0.7183535178777393,0.20716119183870582,0.6769212795099981
jan15,full,response_tabular,0.5,0.45,0.7079008073817763,0.2120017792043088,0.6655004515409145
jan15,full,response_tabular,0.5,0.5,0.6993223760092272,0.2177100395951672,0.6557803680901938
jan15,no_future,response,0.005,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,no_future,response,0.005,0.05,0.7684544405997693,0.19992287331711683,0.728469865936346
jan15,no_future,response,0.005,0.1,0.7678056516724336,0.20057813803340732,0.7276900240657522
jan15,no_future,response,0.005,0.15000000000000002,0.7658592848904268,0.2016385159719519,0.7255315816960364
jan15,no_future,response,0.005,0.2,0.7644175317185699,0.20310400713275065,0.7237967302920197
jan15,no_future,response,0.005,0.25,0.7606689734717417,0.2049746115158036,0.719674051168581
jan15,no_future,response,0.005,0.30000000000000004,0.7611735870818916,0.20725032912111074,0.7197235212576695
jan15,no_future,response,0.005,0.35000000000000003,0.7554065743944636,0.20993115994867204,0.7134203424047292
jan15,no_future,response,0.005,0.4,0.7466118800461361,0.21301710399848747,0.7040084592464386
jan15,no_future,response,0.005,0.45,0.73709630911188,0.21650816127055708,0.6937946768577685
jan15,no_future,response,0.005,0.5,0.7259948096885814,0.22040433176488086,0.6819139433356053
jan15,no_future,response,0.02,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,no_future,response,0.02,0.05,0.769535755478662,0.19961994465987445,0.7296117665466871
jan15,no_future,response,0.02,0.1,0.7681660899653979,0.20018049037478722,0.7281299918904405
jan15,no_future,response,0.02,0.15000000000000002,0.7669405997693194,0.20135435896781886,0.7266697279757556
jan15,no_future,response,0.02,0.2,0.7652104959630911,0.20314155043896936,0.7245821858752972
jan15,no_future,response,0.02,0.25,0.763840830449827,0.20554206478823875,0.7227324174921792
jan15,no_future,response,0.02,0.30000000000000004,0.7558391003460209,0.20855590201562696,0.7141279199428955
jan15,no_future,response,0.02,0.35000000000000003,0.7502883506343714,0.21218306212113405,0.7078517382101446
jan15,no_future,response,0.02,0.4,0.7420703575547866,0.21642354510476,0.6987856485338345
jan15,no_future,response,0.02,0.45,0.7301758938869665,0.22127735096650478,0.6859204236936655
jan15,no_future,response,0.02,0.5,0.717128027681661,0.22674447970636843,0.6717791317403873
jan15,no_future,response,0.1,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,no_future,response,0.1,0.05,0.7667243367935409,0.19933493588012471,0.7268573496175159
jan15,no_future,response,0.1,0.1,0.7654267589388697,0.19993467026200584,0.7254398248864685
jan15,no_future,response,0.1,0.15000000000000002,0.7632641291810842,0.20147192496872393,0.7229697441873394
jan15,no_future,response,0.1,0.2,0.7579296424452135,0.20394670000027906,0.7171403024451577
jan15,no_future,response,0.1,0.25,0.7510813148788928,0.20735899535667116,0.7096095158075586
jan15,no_future,response,0.1,0.30000000000000004,0.7407006920415224,0.2117088110379002,0.6983589298339424
jan15,no_future,response,0.1,0.35000000000000003,0.7287341407151097,0.21699614704396622,0.6853349113063164
jan15,no_future,response,0.1,0.4,0.7141003460207613,0.22322100337486922,0.6694561453457875
jan15,no_future,response,0.1,0.45,0.6986014994232987,0.2303833800306092,0.6525248234171769
jan15,no_future,response,0.1,0.5,0.6770472895040369,0.23848327701118624,0.6293506341017997
jan15,no_future,response,0.5,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,no_future,response,0.5,0.05,0.7631199538638985,0.19922435378857142,0.7232750831061843
jan15,no_future,response,0.5,0.1,0.7601643598615917,0.2000524527044481,0.7201538693207021
jan15,no_future,response,0.5,0.15000000000000002,0.7526672433679354,0.20215701857071075,0.7122358396537933
jan15,no_future,response,0.5,0.2,0.7438725490196079,0.20553805138735926,0.702764938742136
jan15,no_future,response,0.5,0.25,0.7332035755478661,0.21019555115439365,0.6911644653169874
jan15,no_future,response,0.5,0.30000000000000004,0.7167675893886966,0.21612951787181398,0.6735416858143337
jan15,no_future,response,0.5,0.35000000000000003,0.7040801614763552,0.2233399515396202,0.6594121711684312
jan15,no_future,response,0.5,0.4,0.6897347174163783,0.23182685215781226,0.6433693469848158
jan15,no_future,response,0.5,0.45,0.6743800461361015,0.24159021972639022,0.6260620021908234
jan15,no_future,response,0.5,0.5,0.659385813148789,0.2526300542453541,0.6088598022997181
jan15,no_future,response_tabular,0.005,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,no_future,response_tabular,0.005,0.05,0.7679498269896193,0.20010785251688493,0.7279282564862424
jan15,no_future,response_tabular,0.005,0.1,0.7643454440599771,0.2008075101187375,0.7241839420362296
jan15,no_future,response_tabular,0.005,0.15000000000000002,0.7618944636678201,0.2017716946286383,0.7215401247420924
jan15,no_future,response_tabular,0.005,0.2,0.7586505190311418,0.20300040604658726,0.7180504378218243
jan15,no_future,response_tabular,0.005,0.25,0.754253171856978,0.20449364437258444,0.7133544429824612
jan15,no_future,response_tabular,0.005,0.30000000000000004,0.7481257208765859,0.2062514096066298,0.70687543895526
jan15,no_future,response_tabular,0.005,0.35000000000000003,0.738970588235294,0.20827370174872337,0.6973158478855493
jan15,no_future,response_tabular,0.005,0.4,0.7295271049596309,0.21056052079886522,0.6874150007998578
jan15,no_future,response_tabular,0.005,0.45,0.7191464821222607,0.21311186675705518,0.6765241087708497
jan15,no_future,response_tabular,0.005,0.5,0.7089100346020761,0.21592773962329337,0.6657244866774175
jan15,no_future,response_tabular,0.02,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,no_future,response_tabular,0.02,0.05,0.769103229527105,0.19900246681832842,0.7293027361634393
jan15,no_future,response_tabular,0.02,0.1,0.7684544405997694,0.19866855310121218,0.728720729979527
jan15,no_future,response_tabular,0.02,0.15000000000000002,0.7694636678200693,0.19867098067173183,0.7297294716857229
jan15,no_future,response_tabular,0.02,0.2,0.7667243367935409,0.19900974952988743,0.7269223868875634
jan15,no_future,response_tabular,0.02,0.25,0.7655709342560554,0.19968485967567887,0.7256339623209196
jan15,no_future,response_tabular,0.02,0.30000000000000004,0.7603806228373703,0.20069631110910624,0.720241360615549
jan15,no_future,response_tabular,0.02,0.35000000000000003,0.7543973471741638,0.2020441038301695,0.7139885264081299
jan15,no_future,response_tabular,0.02,0.4,0.7476211072664359,0.20372823783886865,0.7068754596986622
jan15,no_future,response_tabular,0.02,0.45,0.7425749711649365,0.20574871313520365,0.7014252285378958
jan15,no_future,response_tabular,0.02,0.5,0.7355103806228374,0.20810552971917468,0.6938892746790024
jan15,no_future,response_tabular,0.1,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,no_future,response_tabular,0.1,0.05,0.7716262975778547,0.1972599762021581,0.7321743023374231
jan15,no_future,response_tabular,0.1,0.1,0.7765282583621684,0.195419967636225,0.7374442648349234
jan15,no_future,response_tabular,0.1,0.15000000000000002,0.7786188004613609,0.19415269612528122,0.7397882612363047
jan15,no_future,response_tabular,0.1,0.2,0.7778979238754326,0.1934581616693268,0.7392062915415671
jan15,no_future,response_tabular,0.1,0.25,0.7779700115340255,0.19333636426836176,0.7393027386803531
jan15,no_future,response_tabular,0.1,0.30000000000000004,0.7742935409457902,0.19378730392238608,0.735536080161313
jan15,no_future,response_tabular,0.1,0.35000000000000003,0.770040369088812,0.19481098063139984,0.7310781729625321
jan15,no_future,response_tabular,0.1,0.4,0.7641291810841984,0.19640739439540283,0.7248477022051178
jan15,no_future,response_tabular,0.1,0.45,0.7584342560553633,0.19857654521439522,0.7187189470124843
jan15,no_future,response_tabular,0.1,0.5,0.7520905420991926,0.20131843308837702,0.7118268554815171
jan15,no_future,response_tabular,0.5,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,no_future,response_tabular,0.5,0.05,0.7734284890426759,0.1967378178083868,0.7340809254809986
jan15,no_future,response_tabular,0.5,0.1,0.7782583621683967,0.19466896211732418,0.7393245697449319
jan15,no_future,response_tabular,0.5,0.15000000000000002,0.7790513264129182,0.19346615474989265,0.7403580954629396
jan15,no_future,response_tabular,0.5,0.2,0.7760236447520185,0.1931293957060924,0.7373977656108
jan15,no_future,response_tabular,0.5,0.25,0.7715542099192618,0.19365868498592323,0.7328224729220771
jan15,no_future,response_tabular,0.5,0.30000000000000004,0.7648500576701269,0.19505402258938526,0.7258392531522498
jan15,no_future,response_tabular,0.5,0.35000000000000003,0.7604527104959631,0.19731540851647839,0.7209896287926674
jan15,no_future,response_tabular,0.5,0.4,0.7559111880046137,0.20044284276720273,0.7158226194511731
jan15,no_future,response_tabular,0.5,0.45,0.7516580161476355,0.2044363253415582,0.7107707510793239
jan15,no_future,response_tabular,0.5,0.5,0.7491349480968857,0.2092958562395448,0.7072757768489768
feb15,crop_only,response,0.005,0.0,0.7407727797001155,0.22834259687104505,0.6951042603259064
feb15,crop_only,response,0.005,0.05,0.73760092272203,0.22935209766601486,0.691730503188827
feb15,crop_only,response,0.005,0.1,0.7310409457900807,0.23042057558084988,0.6849568306739108
feb15,crop_only,response,0.005,0.15000000000000002,0.7197231833910035,0.23154803061555027,0.6734135772678934
feb15,crop_only,response,0.005,0.2,0.7059544405997692,0.23273446277011597,0.659407548045746
feb15,crop_only,response,0.005,0.25,0.6913927335640138,0.23397987204454698,0.6445967591551044
feb15,crop_only,response,0.005,0.30000000000000004,0.6776960784313726,0.23528425843884326,0.630639226743604
feb15,crop_only,response,0.005,0.35000000000000003,0.6633506343713957,0.23664762195300496,0.6160211099807947
feb15,crop_only,response,0.005,0.4,0.646410034602076,0.23806996258703184,0.5987960420846696
feb15,crop_only,response,0.005,0.45,0.6295415224913494,0.23955128034092413,0.5816312664231647
feb15,crop_only,response,0.005,0.5,0.613538062283737,0.2410915752146817,0.5653197472408006
feb15,crop_only,response,0.02,0.0,0.7407727797001155,0.22834259687104505,0.6951042603259064
feb15,crop_only,response,0.02,0.05,0.7339965397923874,0.22987132364039714,0.688022275064308
feb15,crop_only,response,0.02,0.1,0.720876585928489,0.231499601732617,0.6745766655819656
feb15,crop_only,response,0.02,0.15000000000000002,0.7030709342560553,0.23322743114770456,0.6564254480265144
feb15,crop_only,response,0.02,0.2,0.6850490196078431,0.23505481188565988,0.6380380572307112
feb15,crop_only,response,0.02,0.25,0.666955017301038,0.23698174394648297,0.6195586685117415
feb15,crop_only,response,0.02,0.30000000000000004,0.6472750865051904,0.23900822733017374,0.5994734410391557
feb15,crop_only,response,0.02,0.35000000000000003,0.6281718569780853,0.24113426203673233,0.5799450045707388
feb15,crop_only,response,0.02,0.4,0.6096453287197232,0.24335984806615862,0.5609733591064915
feb15,crop_only,response,0.02,0.45,0.5919838523644751,0.24568498541845274,0.5428468552807846
feb15,crop_only,response,0.02,0.5,0.5765570934256055,0.24810967409361448,0.5269351586068826
feb15,crop_only,response,0.1,0.0,0.7407727797001155,0.22834259687104505,0.6951042603259064
feb15,crop_only,response,0.1,0.05,0.7288062283737025,0.23064378616004544,0.6826774711416934
feb15,crop_only,response,0.1,0.1,0.7068194925028836,0.23311487610412526,0.6601965172820585
feb15,crop_only,response,0.1,0.15000000000000002,0.6833189158016147,0.23575586670328458,0.6361677424609579
feb15,crop_only,response,0.1,0.2,0.6600346020761246,0.23856675795752338,0.6123212504846199
