S.No.,State,District,2017 - 2018__area_ha,2017 - 2018__production_tonnes,2017 - 2018__yield_ton_per_ha,2018 - 2019__area_ha,2018 - 2019__production_tonnes,2018 - 2019__yield_ton_per_ha,2019 - 2020__area_ha,2019 - 2020__production_tonnes,2019 - 2020__yield_ton_per_ha,2020 - 2021__area_ha,2020 - 2021__production_tonnes,2020 - 2021__yield_ton_per_ha,2021 - 2022__area_ha,2021 - 2022__production_tonnes,2021 - 2022__yield_ton_per_ha,2022 - 2023__area_ha,2022 - 2023__production_tonnes,2022 - 2023__yield_ton_per_ha
54,Uttar Pradesh,Baghpat,56716.0,251309.0,4.43,54904.0,250307.0,4.56,55446.0,250782.0,4.52,55427.0,253468.0,4.57,57237,260486,4.55,54815,248696,4.54
55,Uttar Pradesh,Bahraich,167795.0,629399.0,3.75,160300.0,608016.0,3.79,157415.0,482160.0,3.06,161971.0,565765.0,3.49,165334,581645,3.52,187662,608400,3.24
56,Uttar Pradesh,Ballia,136892.0,495067.0,3.62,136836.0,525720.0,3.84,137020.0,522432.0,3.81,137921.0,519839.0,3.77,142473,537408,3.77,147717,514646,3.48
57,Uttar Pradesh,Balrampur,82709.0,301557.0,3.65,85602.0,299949.0,3.5,88122.0,324641.0,3.68,87202.0,296748.0,3.4,89161,294677,3.3,105224,320828,3.05
58,Uttar Pradesh,Banda,158943.0,363699.0,2.29,159768.0,489299.0,3.06,161834.0,461299.0,2.85,161837.0,454302.0,2.81,167353,505406,3.02,193742,635086,3.28
59,Uttar Pradesh,Barabanki,168346.0,677088.0,4.02,162367.0,641351.0,3.95,166367.0,672289.0,4.04,166827.0,722528.0,4.33,173546,701473,4.04,165972,629698,3.79
60,Uttar Pradesh,Bareilly,195118.0,716278.0,3.67,198541.0,776097.0,3.91,199331.0,629487.0,3.16,200048.0,773586.0,3.87,208130,812956,3.91,207246,844527,4.07
61,Uttar Pradesh,Basti,119616.0,471766.0,3.94,119476.0,449349.0,3.76,120160.0,369252.0,3.07,119730.0,425880.0,3.56,124347,452374,3.64,141055,482549,3.42
62,Uttar Pradesh,Bijnor,157273.0,569328.0,3.62,148627.0,557500.0,3.75,145884.0,510448.0,3.5,155416.0,591669.0,3.81,160351,601797,3.75,152517,577887,3.79
63,Uttar Pradesh,Budaun,222879.0,822869.0,3.69,226358.0,880759.0,3.89,250941.0,1023839.0,4.08,232327.0,907237.0,3.91,241713,939297,3.89,215342,912619,4.24
64,Uttar Pradesh,Bulandshahr,191410.0,869193.0,4.54,201066.0,910427.0,4.53,192762.0,843719.0,4.38,194116.0,854887.0,4.4,201958,896088,4.44,195453,837712,4.29
65,Uttar Pradesh,Chandauli,111873.0,376676.0,3.37,101842.0,381704.0,3.75,100039.0,340833.0,3.41,99917.0,363998.0,3.64,105445,371483,3.52,114959,365340,3.18
66,Uttar Pradesh,Chitrakoot,49779.0,131412.0,2.64,49808.0,135073.0,2.71,53793.0,142714.0,2.65,49779.0,164687.0,3.31,50750,161842,3.19,79992,251175,3.14
67,Uttar Pradesh,Deoria,153401.0,482139.0,3.14,152006.0,505572.0,3.33,153059.0,513972.0,3.36,153125.0,533028.0,3.48,159816,534585,3.35,172605,636049,3.68
68,Uttar Pradesh,Etah,135296.0,528872.0,3.91,135884.0,522202.0,3.84,136510.0,566653.0,4.15,137493.0,567296.0,4.13,140723,547412,3.89,135849,562279,4.14
69,Uttar Pradesh,Etawah,96033.0,360508.0,3.75,96027.0,419734.0,4.37,95396.0,392364.0,4.11,95976.0,395887.0,4.12,104603,400943,3.83,100105,405625,4.05
70,Uttar Pradesh,Faizabad,109263.0,412905.0,3.78,106251.0,413104.0,3.89,110184.0,409113.0,3.71,112366.0,396436.0,3.53,115607,392601,3.4,107032,339077,3.17
71,Uttar Pradesh,Farrukhabad,75117.0,337876.0,4.5,75581.0,323638.0,4.28,76309.0,320956.0,4.21,76415.0,311773.0,4.08,78229,303294,3.88,75116,311055,4.14
72,Uttar Pradesh,Fatehpur,170171.0,591435.0,3.48,172432.0,687681.0,3.99,179472.0,710602.0,3.96,173279.0,657710.0,3.8,179293,656212,3.66,171841,645950,3.76
73,Uttar Pradesh,Firozabad,95997.0,325910.0,3.4,92948.0,350228.0,3.77,101892.0,412663.0,4.05,100567.0,416146.0,4.14,104209,368275,3.53,100972,427515,4.23
74,Uttar Pradesh,Gautam buddha nagar,41229.0,160876.0,3.9,44864.0,185647.0,4.14,44802.0,189199.0,4.22,44305.0,177973.0,4.02,45969,176935,3.85,44552,180792,4.06
75,Uttar Pradesh,Ghaziabad,27714.0,111743.0,4.03,28690.0,122019.0,4.25,29429.0,120894.0,4.11,28112.0,119926.0,4.27,29658,124534,4.2,28373,112783,3.98
76,Uttar Pradesh,Ghazipur,166213.0,494151.0,2.97,170198.0,560973.0,3.3,184666.0,636359.0,3.45,183259.0,638291.0,3.48,180612,701136,3.88,187825,675607,3.6
77,Uttar Pradesh,Gonda,154304.0,463529.0,3.0,146855.0,462593.0,3.15,155438.0,510148.0,3.28,154832.0,519461.0,3.35,160294,524963,3.28,153425,489119,3.19
78,Uttar Pradesh,Gorakhpur,192243.0,814341.0,4.24,181728.0,730099.0,4.02,190449.0,703896.0,3.7,190783.0,714103.0,3.74,202056,733463,3.63,196530,741901,3.78
79,Uttar Pradesh,Hamirpur,113112.0,354013.0,3.13,113456.0,364235.0,3.21,111468.0,364655.0,3.27,110320.0,354265.0,3.21,117657,378150,3.21,143552,461807,3.22
