S.No.,State,District,area_ha,production_tonnes,yield_ton_per_ha,season_label,season_start_year,season_end_year
88,Uttar Pradesh,Kanpur nagar,103752.0,432278.0,4.17,2018 - 2019,2018,2019
89,Uttar Pradesh,Kasganj,97339.0,415053.0,4.26,2018 - 2019,2018,2019
90,Uttar Pradesh,Kaushambi,77095.0,269358.0,3.49,2018 - 2019,2018,2019
91,Uttar Pradesh,Kheri,198051.0,841915.0,4.25,2018 - 2019,2018,2019
92,Uttar Pradesh,Kushi nagar,120236.0,383914.0,3.19,2018 - 2019,2018,2019
93,Uttar Pradesh,Lalitpur,188237.0,642076.0,3.41,2018 - 2019,2018,2019
94,Uttar Pradesh,Lucknow,78962.0,284658.0,3.6,2018 - 2019,2018,2019
95,Uttar Pradesh,Maharajganj,147751.0,610212.0,4.13,2018 - 2019,2018,2019
96,Uttar Pradesh,Mahoba,81887.0,230571.0,2.82,2018 - 2019,2018,2019
97,Uttar Pradesh,Mainpuri,152866.0,678878.0,4.44,2018 - 2019,2018,2019
98,Uttar Pradesh,Mathura,203721.0,850331.0,4.17,2018 - 2019,2018,2019
99,Uttar Pradesh,Mau,95550.0,367772.0,3.85,2018 - 2019,2018,2019
100,Uttar Pradesh,Meerut,80065.0,373423.0,4.66,2018 - 2019,2018,2019
101,Uttar Pradesh,Mirzapur,96564.0,303796.0,3.15,2018 - 2019,2018,2019
102,Uttar Pradesh,Moradabad,115217.0,460983.0,4.0,2018 - 2019,2018,2019
103,Uttar Pradesh,Muzaffarnagar,86395.0,366920.0,4.25,2018 - 2019,2018,2019
104,Uttar Pradesh,Pilibhit,148303.0,658762.0,4.44,2018 - 2019,2018,2019
105,Uttar Pradesh,Pratapgarh,150515.0,514761.0,3.42,2018 - 2019,2018,2019
106,Uttar Pradesh,Rae bareli,133804.0,461089.0,3.45,2018 - 2019,2018,2019
107,Uttar Pradesh,Rampur,148838.0,639706.0,4.3,2018 - 2019,2018,2019
108,Uttar Pradesh,Saharanpur,111995.0,472283.0,4.22,2018 - 2019,2018,2019
109,Uttar Pradesh,Sambhal,139858.0,564047.0,4.03,2018 - 2019,2018,2019
110,Uttar Pradesh,Sant kabeer nagar,91366.0,306624.0,3.36,2018 - 2019,2018,2019
111,Uttar Pradesh,Sant ravidas nagar,49437.0,185620.0,3.75,2018 - 2019,2018,2019
112,Uttar Pradesh,Shahjahanpur,272458.0,1216792.0,4.47,2018 - 2019,2018,2019
113,Uttar Pradesh,Shamli,48655.0,222451.0,4.57,2018 - 2019,2018,2019
114,Uttar Pradesh,Shravasti,72186.0,246948.0,3.42,2018 - 2019,2018,2019
115,Uttar Pradesh,Siddharth nagar,157672.0,689815.0,4.38,2018 - 2019,2018,2019
116,Uttar Pradesh,Sitapur,205409.0,714823.0,3.48,2018 - 2019,2018,2019
117,Uttar Pradesh,Sonbhadra,57964.0,156734.0,2.7,2018 - 2019,2018,2019
118,Uttar Pradesh,Sultanpur,104661.0,436855.0,4.17,2018 - 2019,2018,2019
119,Uttar Pradesh,Unnao,241879.0,937039.0,3.87,2018 - 2019,2018,2019
120,Uttar Pradesh,Varanasi,68973.0,241128.0,3.5,2018 - 2019,2018,2019
1,Haryana,Ambala,90900.0,380100.0,4.18,2019 - 2020,2019,2020
2,Haryana,Bhiwani,107400.0,449600.0,4.19,2019 - 2020,2019,2020
3,Haryana,Charki dadri,50100.0,228900.0,4.57,2019 - 2020,2019,2020
4,Haryana,Faridabad,30700.0,128800.0,4.2,2019 - 2020,2019,2020
5,Haryana,Fatehabad,191900.0,931500.0,4.85,2019 - 2020,2019,2020
6,Haryana,Gurgaon,40600.0,205600.0,5.06,2019 - 2020,2019,2020
7,Haryana,Hisar,224300.0,1022800.0,4.56,2019 - 2020,2019,2020
8,Haryana,Jhajjar,106600.0,512600.0,4.81,2019 - 2020,2019,2020
9,Haryana,Jind,214400.0,1030600.0,4.81,2019 - 2020,2019,2020
10,Haryana,Kaithal,182200.0,839000.0,4.6,2019 - 2020,2019,2020
11,Haryana,Karnal,178400.0,864500.0,4.85,2019 - 2020,2019,2020
12,Haryana,Kurukshetra,110400.0,520200.0,4.71,2019 - 2020,2019,2020
13,Haryana,Mahendragarh,36600.0,163800.0,4.48,2019 - 2020,2019,2020
14,Haryana,Mewat,78700.0,362300.0,4.6,2019 - 2020,2019,2020
15,Haryana,Palwal,100700.0,487100.0,4.84,2019 - 2020,2019,2020
16,Haryana,Panchkula,18800.0,78400.0,4.17,2019 - 2020,2019,2020
17,Haryana,Panipat,89800.0,426200.0,4.75,2019 - 2020,2019,2020
18,Haryana,Rewari,37700.0,166100.0,4.41,2019 - 2020,2019,2020
19,Haryana,Rohtak,106800.0,461300.0,4.32,2019 - 2020,2019,2020
20,Haryana,Sirsa,296900.0,1443800.0,4.86,2019 - 2020,2019,2020
21,Haryana,Sonipat,146400.0,716200.0,4.89,2019 - 2020,2019,2020
22,Haryana,Yamunanagar,93500.0,457500.0,4.89,2019 - 2020,2019,2020
23,Punjab,Amritsar,188000.0,852000.0,4.53,2019 - 2020,2019,2020
24,Punjab,Barnala,114000.0,599000.0,5.25,2019 - 2020,2019,2020
25,Punjab,Bathinda,256000.0,1387000.0,5.42,2019 - 2020,2019,2020
26,Punjab,Faridkot,116000.0,646000.0,5.57,2019 - 2020,2019,2020
27,Punjab,Fatehgarh sahib,85000.0,374000.0,4.4,2019 - 2020,2019,2020
28,Punjab,Fazilka,206000.0,1016000.0,4.93,2019 - 2020,2019,2020
29,Punjab,Firozepur,187000.0,957000.0,5.12,2019 - 2020,2019,2020
30,Punjab,Gurdaspur,185000.0,772000.0,4.17,2019 - 2020,2019,2020
31,Punjab,Hoshiarpur,142000.0,609000.0,4.29,2019 - 2020,2019,2020
32,Punjab,Jalandhar,173000.0,870000.0,5.03,2019 - 2020,2019,2020
33,Punjab,Kapurthala,109000.0,507000.0,4.65,2019 - 2020,2019,2020
34,Punjab,Ludhiana,250000.0,1275000.0,5.1,2019 - 2020,2019,2020
36,Punjab,Mansa,171000.0,922000.0,5.39,2019 - 2020,2019,2020
37,Punjab,Moga,176000.0,942000.0,5.35,2019 - 2020,2019,2020
38,Punjab,Muktsar,214000.0,1168000.0,5.46,2019 - 2020,2019,2020
39,Punjab,Nawanshahr,77000.0,391000.0,5.08,2019 - 2020,2019,2020
40,Punjab,Pathankot,40000.0,158000.0,3.95,2019 - 2020,2019,2020
41,Punjab,Patiala,234000.0,1116000.0,4.77,2019 - 2020,2019,2020
42,Punjab,Rupnagar,69000.0,299000.0,4.33,2019 - 2020,2019,2020
43,Punjab,S.a.s nagar,50000.0,226000.0,4.52,2019 - 2020,2019,2020
44,Punjab,Sangrur,291000.0,1678000.0,5.77,2019 - 2020,2019,2020
45,Punjab,Tarn taran,188000.0,855000.0,4.55,2019 - 2020,2019,2020
46,Uttar Pradesh,Agra,137283.0,555307.0,4.04,2019 - 2020,2019,2020
47,Uttar Pradesh,Aligarh,223574.0,921572.0,4.12,2019 - 2020,2019,2020
48,Uttar Pradesh,Allahabad,210714.0,593160.0,2.82,2019 - 2020,2019,2020
49,Uttar Pradesh,Ambedkar nagar,119046.0,466422.0,3.92,2019 - 2020,2019,2020
50,Uttar Pradesh,Amethi,126155.0,389314.0,3.09,2019 - 2020,2019,2020
51,Uttar Pradesh,Amroha,89939.0,348334.0,3.87,2019 - 2020,2019,2020
52,Uttar Pradesh,Auraiya,102910.0,399702.0,3.88,2019 - 2020,2019,2020
53,Uttar Pradesh,Azamgarh,232369.0,802368.0,3.45,2019 - 2020,2019,2020
54,Uttar Pradesh,Baghpat,55446.0,250782.0,4.52,2019 - 2020,2019,2020
55,Uttar Pradesh,Bahraich,157415.0,482160.0,3.06,2019 - 2020,2019,2020
56,Uttar Pradesh,Ballia,137020.0,522432.0,3.81,2019 - 2020,2019,2020
57,Uttar Pradesh,Balrampur,88122.0,324641.0,3.68,2019 - 2020,2019,2020
58,Uttar Pradesh,Banda,161834.0,461299.0,2.85,2019 - 2020,2019,2020
59,Uttar Pradesh,Barabanki,166367.0,672289.0,4.04,2019 - 2020,2019,2020
60,Uttar Pradesh,Bareilly,199331.0,629487.0,3.16,2019 - 2020,2019,2020
61,Uttar Pradesh,Basti,120160.0,369252.0,3.07,2019 - 2020,2019,2020
62,Uttar Pradesh,Bijnor,145884.0,510448.0,3.5,2019 - 2020,2019,2020
63,Uttar Pradesh,Budaun,250941.0,1023839.0,4.08,2019 - 2020,2019,2020
64,Uttar Pradesh,Bulandshahr,192762.0,843719.0,4.38,2019 - 2020,2019,2020
65,Uttar Pradesh,Chandauli,100039.0,340833.0,3.41,2019 - 2020,2019,2020
66,Uttar Pradesh,Chitrakoot,53793.0,142714.0,2.65,2019 - 2020,2019,2020
67,Uttar Pradesh,Deoria,153059.0,513972.0,3.36,2019 - 2020,2019,2020
68,Uttar Pradesh,Etah,136510.0,566653.0,4.15,2019 - 2020,2019,2020
69,Uttar Pradesh,Etawah,95396.0,392364.0,4.11,2019 - 2020,2019,2020
70,Uttar Pradesh,Faizabad,110184.0,409113.0,3.71,2019 - 2020,2019,2020
71,Uttar Pradesh,Farrukhabad,76309.0,320956.0,4.21,2019 - 2020,2019,2020
72,Uttar Pradesh,Fatehpur,179472.0,710602.0,3.96,2019 - 2020,2019,2020
73,Uttar Pradesh,Firozabad,101892.0,412663.0,4.05,2019 - 2020,2019,2020
