district_id,state_name,district_name,season_label,season_start_year,season_end_year,area_ha,production_tonnes,yield_ton_per_ha,yield_kg_per_ha,crop,season,source,source_file
IND013012,Haryana,Kurukshetra,2021 - 2022,2021,2022,104134.0,443190.0,4.26,4260.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013012,Haryana,Kurukshetra,2022 - 2023,2022,2023,105750.0,505730.0,4.78,4780.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013013,Haryana,Mahendragarh,2017 - 2018,2017,2018,49100.0,209500.0,4.27,4270.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013013,Haryana,Mahendragarh,2018 - 2019,2018,2019,44300.0,210000.0,4.74,4740.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013013,Haryana,Mahendragarh,2019 - 2020,2019,2020,36600.0,163800.0,4.48,4480.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013013,Haryana,Mahendragarh,2020 - 2021,2020,2021,34630.0,167640.0,4.84,4840.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013013,Haryana,Mahendragarh,2021 - 2022,2021,2022,25905.0,120380.0,4.65,4650.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013013,Haryana,Mahendragarh,2022 - 2023,2022,2023,30080.0,133200.0,4.43,4430.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013014,Haryana,Mewat,2017 - 2018,2017,2018,77100.0,332800.0,4.32,4320.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013014,Haryana,Mewat,2018 - 2019,2018,2019,76400.0,347000.0,4.54,4540.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013014,Haryana,Mewat,2019 - 2020,2019,2020,78700.0,362300.0,4.6,4600.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013014,Haryana,Mewat,2020 - 2021,2020,2021,73760.0,311560.0,4.22,4220.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013014,Haryana,Mewat,2021 - 2022,2021,2022,62170.0,264970.0,4.26,4260.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013014,Haryana,Mewat,2022 - 2023,2022,2023,68630.0,267460.0,3.9,3900.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013015,Haryana,Palwal,2017 - 2018,2017,2018,93600.0,425800.0,4.55,4550.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013015,Haryana,Palwal,2018 - 2019,2018,2019,95000.0,402000.0,4.23,4230.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013015,Haryana,Palwal,2019 - 2020,2019,2020,100700.0,487100.0,4.84,4840.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013015,Haryana,Palwal,2020 - 2021,2020,2021,10060.0,44720.0,4.45,4450.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013015,Haryana,Palwal,2021 - 2022,2021,2022,94678.0,439400.0,4.64,4640.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013015,Haryana,Palwal,2022 - 2023,2022,2023,97690.0,413960.0,4.24,4240.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013016,Haryana,Panchkula,2017 - 2018,2017,2018,18000.0,67300.0,3.74,3740.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013016,Haryana,Panchkula,2018 - 2019,2018,2019,18000.0,71000.0,3.94,3940.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013016,Haryana,Panchkula,2019 - 2020,2019,2020,18800.0,78400.0,4.17,4170.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013016,Haryana,Panchkula,2020 - 2021,2020,2021,20360.0,73210.0,3.6,3600.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013016,Haryana,Panchkula,2021 - 2022,2021,2022,19266.0,72670.0,3.77,3770.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013016,Haryana,Panchkula,2022 - 2023,2022,2023,19380.0,74260.0,3.83,3830.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013017,Haryana,Panipat,2017 - 2018,2017,2018,84300.0,437100.0,5.19,5190.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013017,Haryana,Panipat,2018 - 2019,2018,2019,83000.0,433000.0,5.22,5220.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013017,Haryana,Panipat,2019 - 2020,2019,2020,89800.0,426200.0,4.75,4750.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013017,Haryana,Panipat,2020 - 2021,2020,2021,94630.0,467090.0,4.94,4940.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013017,Haryana,Panipat,2021 - 2022,2021,2022,83977.0,388980.0,4.63,4630.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013017,Haryana,Panipat,2022 - 2023,2022,2023,83820.0,374960.0,4.47,4470.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013018,Haryana,Rewari,2017 - 2018,2017,2018,46100.0,225800.0,4.9,4900.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013018,Haryana,Rewari,2018 - 2019,2018,2019,41000.0,203000.0,4.95,4950.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013018,Haryana,Rewari,2019 - 2020,2019,2020,37700.0,166100.0,4.41,4410.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013018,Haryana,Rewari,2020 - 2021,2020,2021,37480.0,176080.0,4.7,4700.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013018,Haryana,Rewari,2021 - 2022,2021,2022,27921.0,127850.0,4.58,4580.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013018,Haryana,Rewari,2022 - 2023,2022,2023,33490.0,139090.0,4.15,4150.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013019,Haryana,Rohtak,2017 - 2018,2017,2018,104400.0,483000.0,4.63,4630.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013019,Haryana,Rohtak,2018 - 2019,2018,2019,104200.0,476000.0,4.57,4570.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013019,Haryana,Rohtak,2019 - 2020,2019,2020,106800.0,461300.0,4.32,4320.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013019,Haryana,Rohtak,2020 - 2021,2020,2021,42790.0,205050.0,4.79,4790.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013019,Haryana,Rohtak,2021 - 2022,2021,2022,100983.0,441600.0,4.37,4370.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013019,Haryana,Rohtak,2022 - 2023,2022,2023,103170.0,430240.0,4.17,4170.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013020,Haryana,Sirsa,2017 - 2018,2017,2018,295300.0,1494700.0,5.06,5060.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013020,Haryana,Sirsa,2018 - 2019,2018,2019,293100.0,1484000.0,5.06,5060.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013020,Haryana,Sirsa,2019 - 2020,2019,2020,296900.0,1443800.0,4.86,4860.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013020,Haryana,Sirsa,2020 - 2021,2020,2021,293660.0,1362290.0,4.64,4640.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013020,Haryana,Sirsa,2021 - 2022,2021,2022,257738.0,1106470.0,4.29,4290.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013020,Haryana,Sirsa,2022 - 2023,2022,2023,269930.0,1204660.0,4.46,4460.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013021,Haryana,Sonepat,2017 - 2018,2017,2018,144400.0,732100.0,5.07,5070.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013021,Haryana,Sonepat,2018 - 2019,2018,2019,144100.0,645000.0,4.48,4480.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013021,Haryana,Sonepat,2019 - 2020,2019,2020,146400.0,716200.0,4.89,4890.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013021,Haryana,Sonepat,2020 - 2021,2020,2021,143560.0,720530.0,5.02,5020.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013021,Haryana,Sonepat,2021 - 2022,2021,2022,136834.0,645860.0,4.72,4720.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013021,Haryana,Sonepat,2022 - 2023,2022,2023,139000.0,629690.0,4.53,4530.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013022,Haryana,Yamuna Nagar,2017 - 2018,2017,2018,89000.0,425700.0,4.78,4780.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013022,Haryana,Yamuna Nagar,2018 - 2019,2018,2019,90800.0,390000.0,4.3,4300.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013022,Haryana,Yamuna Nagar,2019 - 2020,2019,2020,93500.0,457500.0,4.89,4890.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013022,Haryana,Yamuna Nagar,2020 - 2021,2020,2021,96520.0,492350.0,5.1,5100.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013022,Haryana,Yamuna Nagar,2021 - 2022,2021,2022,94499.0,426190.0,4.51,4510.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013022,Haryana,Yamuna Nagar,2022 - 2023,2022,2023,92840.0,477490.0,5.14,5140.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028001,Punjab,Amritsar,2017 - 2018,2017,2018,189000.0,920000.0,4.87,4870.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028001,Punjab,Amritsar,2018 - 2019,2018,2019,189000.0,910000.0,4.81,4810.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028001,Punjab,Amritsar,2019 - 2020,2019,2020,188000.0,852000.0,4.53,4530.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028001,Punjab,Amritsar,2020 - 2021,2020,2021,189000.0,900000.0,4.76,4760.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028001,Punjab,Amritsar,2021 - 2022,2021,2022,189300.0,843000.0,4.45,4450.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028001,Punjab,Amritsar,2022 - 2023,2022,2023,189100.0,905400.0,4.79,4790.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028002,Punjab,Barnala,2017 - 2018,2017,2018,114000.0,609000.0,5.34,5340.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028002,Punjab,Barnala,2018 - 2019,2018,2019,115000.0,641000.0,5.57,5570.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028002,Punjab,Barnala,2019 - 2020,2019,2020,114000.0,599000.0,5.25,5250.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028002,Punjab,Barnala,2020 - 2021,2020,2021,113700.0,546000.0,4.8,4800.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028002,Punjab,Barnala,2021 - 2022,2021,2022,114800.0,525000.0,4.57,4570.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028002,Punjab,Barnala,2022 - 2023,2022,2023,113400.0,574100.0,5.06,5060.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028003,Punjab,Bathinda,2017 - 2018,2017,2018,254000.0,1345000.0,5.3,5300.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028003,Punjab,Bathinda,2018 - 2019,2018,2019,255000.0,1428000.0,5.6,5600.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028003,Punjab,Bathinda,2019 - 2020,2019,2020,256000.0,1387000.0,5.42,5420.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028003,Punjab,Bathinda,2020 - 2021,2020,2021,255600.0,1266000.0,4.95,4950.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028003,Punjab,Bathinda,2021 - 2022,2021,2022,260700.0,1149000.0,4.41,4410.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028003,Punjab,Bathinda,2022 - 2023,2022,2023,254000.0,1257300.0,4.95,4950.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028004,Punjab,Faridkot,2017 - 2018,2017,2018,116000.0,619000.0,5.34,5340.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028004,Punjab,Faridkot,2018 - 2019,2018,2019,116000.0,620000.0,5.34,5340.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028004,Punjab,Faridkot,2019 - 2020,2019,2020,116000.0,646000.0,5.57,5570.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028004,Punjab,Faridkot,2020 - 2021,2020,2021,116000.0,588000.0,5.07,5070.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028004,Punjab,Faridkot,2021 - 2022,2021,2022,115500.0,529000.0,4.58,4580.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028004,Punjab,Faridkot,2022 - 2023,2022,2023,115300.0,504500.0,4.38,4380.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028005,Punjab,Fatehgarh Sahib,2017 - 2018,2017,2018,85000.0,454000.0,5.34,5340.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028005,Punjab,Fatehgarh Sahib,2018 - 2019,2018,2019,85000.0,440000.0,5.18,5180.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028005,Punjab,Fatehgarh Sahib,2019 - 2020,2019,2020,85000.0,374000.0,4.4,4400.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028005,Punjab,Fatehgarh Sahib,2020 - 2021,2020,2021,85100.0,422000.0,4.96,4960.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028005,Punjab,Fatehgarh Sahib,2021 - 2022,2021,2022,85300.0,290000.0,3.4,3400.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028005,Punjab,Fatehgarh Sahib,2022 - 2023,2022,2023,84500.0,404700.0,4.79,4790.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND028006,Punjab,Fazilka,2017 - 2018,2017,2018,210000.0,1007000.0,4.8,4800.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
