candidate,hierarchy_weight,development_rmse,development_mae,development_bias,development_equal_state_rmse,development_mean_year_rmse,development_max_year_rmse,development_direction_accuracy,selection_score
direct__modis_pretrained__xgb1,0.4,289.4954769168918,227.5398233555684,-57.1007835057062,302.122361827112,286.9472009481108,325.27388908292335,0.7394957983193278,292.0151291522516
direct__scratch__xgb1,0.4,289.4954769168918,227.5398233555684,-57.1007835057062,302.122361827112,286.9472009481108,325.27388908292335,0.7394957983193278,292.0151291522516
hier__scratch__physical__ridge100__ridge1000,0.3,286.7414087916625,224.69591501244082,-41.083755335879054,308.989859925486,285.6416920210323,310.73071940730233,0.7310924369747899,292.02859238246083
hier__scratch__physical__extra__xgb2,0.45,286.0458441575293,222.81064325019676,35.16516503080981,310.0589154479982,286.0280849107861,289.21549797809405,0.7016806722689075,292.0446721684607
hier__modis_pretrained__physical__extra__xgb2,0.45,286.1043824576369,222.87528997749496,35.30665534860372,310.1252648854411,286.0859744388459,289.3314159868903,0.7016806722689075,292.1050010598902
hier__modis_pretrained__physical__extra__extra,0.5,286.2998144349607,223.08723287653876,28.95266568001452,309.8001610027754,286.2997840742015,286.4316345899005,0.7100840336134454,292.1748934867246
hier__scratch__physical__ridge100__xgb2,0.275,286.1737259567927,222.3220206861759,-17.950900724964765,310.61163031086426,285.74327477491096,301.43347391014277,0.726890756302521,292.17558924984013
hier__none__history__ridge100__ridge100,0.4,284.8811081046654,218.88352820893004,41.371446841817175,314.0776846524142,284.87519610909095,286.7105153589784,0.7016806722689075,292.178774242709
hier__modis_pretrained__physical__ridge100__xgb2,0.275,286.19489158664123,222.34047449545366,-17.86478727140142,310.6433487850806,285.7657176138972,301.4332192304194,0.726890756302521,292.19971239306506
direct__none__xgb1,0.4,289.31240206585426,227.05750409585755,-48.86470127016903,303.0731498489982,287.2092124548969,322.03067523509037,0.7352941176470589,292.2267916089009
hier__scratch__history__ridge1000__ridge1000,0.5,293.01666120093154,232.10686211822417,-98.50899530932482,290.8394024476001,292.0433848024138,315.9060153047441,0.7478991596638656,292.22902741296923
hier__scratch__history__extra__ridge1000,0.425,291.7067337910337,229.19550672121727,-138.15153375237716,294.6672676616522,290.8918367607921,312.680775352786,0.7394957983193278,292.2431430011279
hier__none__physical__extra__xgb2,0.45,286.25308177471277,223.05530868872435,35.43816768297459,310.2653750629942,286.23346269910246,289.5848291072937,0.7016806722689075,292.2512503278806
hier__none__physical__ridge100__xgb2,0.275,286.26956748166936,222.40600361779175,-17.779678986852087,310.72494037307644,285.84206695728653,301.48105745310005,0.7226890756302521,292.2765355734254
hier__none__physical__ridge100__ridge100,0.225,285.2974901486433,218.1008684489736,43.800500539951855,313.8434044821068,285.2096173886798,292.29001526719753,0.7100840336134454,292.4120005420183
hier__scratch__physical__ridge1000__ridge1000,0.4,288.6107260895484,227.95007141050988,-50.49080750165655,305.07276290133746,287.5579689066541,312.18652412648123,0.726890756302521,292.46304599677205
hier__modis_pretrained__physical__ridge100__xgb1,0.275,286.4234487173665,222.41447566231236,-16.900179550085408,311.05264280076716,286.02419168488456,301.142185803096,0.7184873949579832,292.48093298009616
hier__scratch__physical__ridge100__xgb1,0.275,286.4234487173665,222.41447566231236,-16.900179550085408,311.05264280076716,286.02419168488456,301.142185803096,0.7184873949579832,292.48093298009616
hier__none__physical__ridge100__xgb1,0.275,286.42602233518954,222.4165279367073,-16.891284076843707,311.05788454988215,286.02665099252715,301.1468756190843,0.7184873949579832,292.4841450531971
hier__modis_pretrained__physical__ridge100__zero,0.275,286.4508853244502,222.40744258728313,-16.535654742113106,311.12890902319566,286.06291022831454,300.9666377777764,0.7100840336134454,292.5233974751027
hier__none__physical__ridge100__zero,0.275,286.4508853244502,222.40744258728313,-16.535654742113106,311.12890902319566,286.06291022831454,300.9666377777764,0.7100840336134454,292.5233974751027
hier__scratch__physical__ridge100__zero,0.275,286.4508853244502,222.40744258728313,-16.535654742113106,311.12890902319566,286.06291022831454,300.9666377777764,0.7100840336134454,292.5233974751027
hier__scratch__history__ridge100__ridge100,0.425,292.4984325930389,232.7542157306301,-89.74327502123867,294.0549616982428,291.1874798257412,318.84945123267596,0.7436974789915967,292.55982667751545
hier__scratch__history__ridge10__extra,0.5,293.5800636732344,232.6597407267832,-95.67467809740486,292.3770779869785,291.3103711032479,327.74553919766385,0.7478991596638656,292.71189410917384
hier__none__physical__extra__ridge1000,0.5,286.6590157394343,222.70723061286927,43.97076879806371,310.97999757487287,286.60564914120243,292.136759793793,0.7058823529411765,292.725919548736
hier__none__history__ridge10__extra,0.5,293.4506040139616,232.46829131695725,-94.02548155537087,292.7287304288485,291.2751378737503,326.94096259135137,0.7478991596638656,292.7262690826305
direct__none__ridge1000,0.25,290.2584561430016,225.76338105186366,-126.52150777004951,304.0071656451659,286.5293295398867,332.90728417289904,0.7521008403361344,292.76335186776396
hier__scratch__physical__ridge1000__ridge100,0.325,288.05278461225544,227.80263581003987,-37.03272226088299,307.6146187378476,287.3459133724017,307.5135307590598,0.7142857142857143,292.7665253336901
hier__modis_pretrained__physical__ridge1000__ridge1000,0.375,288.8990625667104,227.78806738591865,-52.4007759854391,305.7259726789254,287.653534171718,314.45115776867846,0.7310924369747899,292.79440799601605
hier__modis_pretrained__physical__extra__xgb1,0.45,286.7356377277414,223.34294490912848,36.9209755374922,311.0807982427723,286.7067398751068,290.7775203067225,0.7058823529411765,292.81470339334044
hier__scratch__physical__extra__xgb1,0.45,286.7356377277414,223.34294490912848,36.9209755374922,311.0807982427723,286.7067398751068,290.7775203067225,0.7058823529411765,292.81470339334044
hier__none__physical__extra__xgb1,0.45,286.74184316710966,223.3519854866957,36.93530215668163,311.0892718208126,286.71293259031677,290.7846531519232,0.7058823529411765,292.8214726863372
hier__none__physical__extra__extra,0.5,286.85136466484596,223.2730962294781,30.96514413473521,311.02253981140154,286.84807639626297,288.2215675131346,0.7016806722689075,292.89333638433914
hier__modis_pretrained__history__ridge10__extra,0.5,293.8763961006498,233.0159184877181,-95.89925366709456,292.55435155346,291.5810469526782,328.239323550005,0.7478991596638656,292.97204767685946
hier__modis_pretrained__physical__extra__zero,0.45,286.88313855569396,223.43619117038375,37.53732614340464,311.3326304796928,286.849818683224,291.2220845679829,0.7058823529411765,292.98718156857615
hier__none__physical__extra__zero,0.45,286.88313855569396,223.43619117038375,37.53732614340464,311.3326304796928,286.849818683224,291.2220845679829,0.7058823529411765,292.98718156857615
hier__scratch__physical__extra__zero,0.45,286.88313855569396,223.43619117038375,37.53732614340464,311.3326304796928,286.849818683224,291.2220845679829,0.7058823529411765,292.98718156857615
hier__modis_pretrained__encoder__extra__extra,0.5,286.74618529612417,222.57751992247722,38.2239084762879,311.791851466926,286.7287851569988,289.88766854686907,0.7016806722689075,293.0032518040433
hier__scratch__encoder__ridge1000__xgb2,0.375,286.441384503056,221.87877672037752,9.896744158210112,312.9386648760747,286.42147172484516,289.7989398596019,0.7016806722689075,293.06072640175796
hier__none__physical__extra__ridge100,0.275,286.5859727681386,219.14160876698242,93.85558760670563,312.7609899848829,286.33749328714447,298.2689527743471,0.7016806722689075,293.06760720207615
hier__modis_pretrained__history__ridge100__ridge100,0.375,292.7205672880513,232.2010802886461,-94.60962620580887,295.8948123726161,290.99095983295143,322.7650343109946,0.7436974789915967,293.08172669541756
hier__modis_pretrained__encoder__extra__xgb2,0.45,286.80273479075476,222.68377766087423,43.68878713214427,312.2256346041281,286.7440269867328,292.5467565933801,0.7016806722689075,293.1437827930926
hier__scratch__physical__ridge10__ridge1000,0.275,288.63949592575244,226.18182615947953,-74.27401553457752,309.1704912569967,286.26217974451504,323.2313974288452,0.7521008403361344,293.17791571325415
hier__none__physical__ridge100__ridge1000,0.3,287.0807074980845,223.4143156401595,-16.879299847874645,311.88276536429674,286.67433045036466,301.9439368118875,0.7226890756302521,293.17962770270765
direct__scratch__ridge100,0.325,291.7009571182847,231.60974283666118,-124.64975952237843,301.613589605834,288.16282806091624,333.4577826106028,0.7142857142857143,293.29458297582994
hier__modis_pretrained__encoder__extra__ridge100,0.375,287.3614887017729,225.07266163307685,-2.2853470306510046,311.4390515597611,287.0477774632652,300.47158624836504,0.7226890756302521,293.302451606643
