correction_candidate,gamma,development_rmse,development_mae,development_bias,development_equal_state_rmse,development_mean_year_rmse,development_max_year_rmse,development_direction_accuracy,selection_score
d2_future_ensemble_minus_base,0.25,256.3094999612677,186.82672722724277,-5.668303672839646,267.1887907322316,255.42689249814254,276.6792419950194,0.7773109243697479,258.8086707882274
d2_effect_minus_base,2.5,256.8225686897285,184.76568604729243,18.537128965227193,265.49446148862233,256.2340814681337,273.6101363302745,0.7647058823529411,258.84342008405326
d2_full_minus_base,0.25,256.3043928241969,187.04068204259414,-8.210750183304173,267.3990317048734,255.40274516213657,276.88249247501136,0.7857142857142857,258.85264062885096
d2_full_minus_no_future,0.25,256.350906612643,186.98069285466778,-9.134186011569195,267.5149836252689,255.3967650680133,277.4938172224983,0.7773109243697479,258.90339047964204
d2_effect_minus_base,0.25,256.4218742621582,186.7281350861474,-5.151927415229047,267.2825753833114,255.53961255176512,276.79247158324256,0.7773109243697479,258.91648411484823
d2_effect_minus_no_future,0.25,256.4490958451826,186.64010709899057,-6.075363243494069,267.3593342973028,255.51382880229602,277.39583169514407,0.7815126050420168,258.942838697491
d2_broad_minus_no_future,2.0,257.0467603041636,185.82839275589015,17.962959549841404,265.96639038840823,256.05166950575625,278.64767636938404,0.7941176470588235,259.02789512562293
d2_full_minus_no_future,2.25,256.42202667143886,187.0672517178771,-19.935315777440387,268.0141409265062,255.26220290143863,279.6233098588999,0.7941176470588235,259.0300992927056
d2_broad_minus_base,1.0,256.77885554623225,186.46909673499349,8.783200692563144,266.62835168273506,256.0066240749705,275.90609857480524,0.7857142857142857,259.0481717125425
d1_future_ensemble_minus_no_future,1.25,256.5279051283237,186.41367549803752,-1.3532662607037305,267.55727489866933,255.60927149205696,277.29950977627533,0.7773109243697479,259.05558916184344
d1_future_ensemble_minus_no_future,1.5,256.5444153892945,186.32912270234007,-0.06711055467738854,267.51594820703843,255.62473762491845,277.32797659117574,0.7773109243697479,259.0573791526365
d1_effect_minus_no_future,1.0,256.636083543648,186.68386810648354,-3.472667818476526,267.38345499916636,255.69044483120715,277.7012557804135,0.7773109243697479,259.0865167294174
d1_future_ensemble_minus_no_future,1.0,256.5483081093332,186.56111516023762,-2.63942196673005,267.62866156001826,255.62928219543983,277.32500707398634,0.7773109243697479,259.08863999353116
d1_future_ensemble_minus_no_future,1.75,256.59783176692514,186.32843386070752,1.2190451513488751,267.5046954169833,255.6756720190583,277.4103909059031,0.7815126050420168,259.09400774247297
d1_effect_minus_no_future,0.75,256.6281770738695,186.79874975760987,-4.55051206156622,267.51936353866967,255.69012876824706,277.61224816246965,0.7773109243697479,259.1164616136639
d1_effect_minus_no_future,1.25,256.70971865737783,186.6466495847214,-2.394823575386834,267.295537366532,255.75316040096573,277.8936346069982,0.7857142857142857,259.11703377056335
d1_future_ensemble_minus_no_future,0.75,256.6056155272917,186.74803641082403,-3.9255776727563707,267.73008414581443,255.68476071297755,277.4044536041693,0.7689075630252101,259.15651897834385
d1_future_ensemble_minus_no_future,2.0,256.68813122091035,186.41522134149082,2.5052008573751943,267.523520323482,255.76204852696577,277.54670466318504,0.7857142857142857,259.16545782306713
d1_effect_minus_no_future,0.5,256.68600532178436,186.99002688295946,-5.628356304655911,267.70318989245186,255.7522497781856,277.62671117616503,0.7773109243697479,259.2068625785515
d1_effect_minus_no_future,1.5,256.849025884547,186.7494243325669,-1.3169793322971421,267.25565800268953,255.87817746246083,278.1891701864546,0.7857142857142857,259.20797180856107
d2_effect_minus_no_future,2.5,257.64203322234243,184.5937329072627,9.302770682576973,265.1656591263414,256.5075453634739,280.65907646499926,0.7983193277310925,259.23931773362506
d1_effect_minus_base,1.5,256.7222559324029,186.77378222306857,-6.251704412514778,267.6441534944379,255.93008263070823,276.0822412163542,0.7773109243697479,259.25468699748797
d1_broad_minus_no_future,1.0,256.67421573859804,187.00595500185213,-1.9385220785765658,267.8665819756033,255.8112276054579,276.84141676326146,0.773109243697479,259.2565602645643
d1_effect_minus_base,1.75,256.73115426336915,186.67850779470896,-5.996314349461358,267.60678392259916,255.96275574622473,275.81101109021785,0.7773109243697479,259.25796204889053
d1_future_ensemble_minus_no_future,0.5,256.6998026658042,186.98705732279038,-5.211733378782709,267.86150853781936,255.77568044894093,277.5378030371464,0.7689075630252101,259.2591985795922
d1_effect_minus_base,1.25,256.72906791818,186.87865114886395,-6.507094475568198,267.69801160999157,255.9130769108403,276.3657388442861,0.7773109243697479,259.26730608929796
d1_broad_minus_no_future,0.75,256.6927825657987,187.04335208196102,-3.3999027566412487,267.8889182469019,255.81043947109754,277.0755206836483,0.773109243697479,259.2712307123992
d1_future_ensemble_minus_no_future,2.25,256.81527484560394,186.54364153815226,3.7913565634015134,267.5724165782366,255.883823500858,277.73683850119284,0.7899159663865546,259.2716974425756
d1_effect_minus_base,2.0,256.7557612776713,186.61190081219812,-5.740924286407939,267.5859098025727,256.0110736612923,275.55208469114774,0.7815126050420168,259.2771265048019
d2_full_minus_base,3.75,256.58188310853524,191.72488981850208,-14.184625677868455,268.080779247583,255.87687591899385,274.88442992938366,0.773109243697479,259.28035534591186
d1_broad_minus_no_future,1.25,256.69737341656503,186.98832238039606,-0.4771414005118829,267.8873224705976,255.8545627099005,276.6387937394333,0.773109243697479,259.284158003407
d1_effect_minus_base,1.0,256.75158897024926,186.99165792498442,-6.762484538621617,267.76834831989305,255.911758346853,276.6614662621398,0.7773109243697479,259.29582115181114
d1_effect_minus_base,2.25,256.7960724595418,186.56397863689872,-5.485534223354519,267.58153499480466,256.0750109797718,275.30549673432347,0.7815126050420168,259.312172723415
d2_future_ensemble_minus_base,2.75,257.0584288809522,186.69497636843258,15.48910750711695,266.7604932468714,256.3723698268491,275.14053031499714,0.7689075630252101,259.3124302089062
d1_broad_minus_no_future,0.5,256.75306484637645,187.17665490813675,-4.86128343470593,267.95432051204915,255.85223931864533,277.3410257814083,0.7773109243697479,259.3281723808619
d1_effect_minus_base,0.75,256.78981495544787,187.10466470110492,-7.017874601675037,267.8551506426848,255.9261438297042,276.9693842957235,0.7773109243697479,259.3402310958212
d1_full_minus_no_future,0.75,256.7824133010237,186.64864181916022,-3.826318200061655,268.01274938795,255.83357297519484,277.88784057680516,0.7689075630252101,259.3527872412981
d1_broad_minus_no_future,1.5,256.7622443101586,187.0147466374977,0.9842392775528019,267.9511297289401,255.9403805673615,276.4677208291624,0.773109243697479,259.3539997291547
d1_effect_minus_no_future,0.25,256.80952388105817,187.25337884430368,-6.7062005477456035,267.9348354332989,255.87678471764963,277.7446286574019,0.7773109243697479,259.3576669782662
d1_effect_minus_no_future,1.75,257.05389845457336,186.88818988628228,-0.2391350892074501,267.26383841150965,256.06533813484015,278.5875342219025,0.7899159663865546,259.35924336387416
d1_full_minus_no_future,0.5,256.78764930254886,186.87456748484703,-5.145560396986204,268.0295416941493,255.84696049015434,277.8066882270415,0.7647058823529411,259.36295019735036
d1_effect_minus_base,2.5,256.8520804149948,186.56716973630475,-5.230144160301098,267.59366030852186,256.15453954361396,275.07128040217833,0.7815126050420168,259.36309017053134
d1_future_ensemble_minus_no_future,0.25,256.83082895036017,187.25189406421913,-6.4978890848089765,268.0228906020922,255.90199730515235,277.7249777286176,0.773109243697479,259.3966364519912
d1_effect_minus_base,0.5,256.84373886169294,187.22317179229225,-7.2732646647284565,267.9584025767779,255.95624735018743,277.28945233357376,0.7773109243697479,259.4005319125878
d1_no_future_minus_base,-0.5,256.8690002604048,187.3166454770695,-6.1391364307627505,267.99206361520015,255.887608996733,278.32005997104505,0.7773109243697479,259.4044182831857
d1_full_minus_no_future,1.0,256.8440390533709,186.51183683311095,-2.507076003137109,268.0463291420656,255.88346709391558,278.0760709349826,0.7773109243697479,259.4044685856808
d1_no_future_minus_base,-0.75,256.90012966400207,187.27144001619254,-5.316682250726479,267.9527826736564,255.89028730821371,278.6463300815285,0.7815126050420168,259.4108323274686
d1_future_ensemble_minus_no_future,2.5,256.9792079536915,186.67206173481367,5.077512269427779,267.65136770037185,256.0409359122332,277.980681984017,0.7899159663865546,259.41267987999703
d1_broad_minus_no_future,0.25,256.85503320925966,187.3525631971726,-6.322664112770613,268.06275724917225,255.93664474631458,277.6378419697083,0.7773109243697479,259.4273671035015
d1_effect_minus_base,2.75,256.9237748786023,186.576070747347,-4.974754097247678,267.6222835009834,256.2496284731868,274.84946732260755,0.7815126050420168,259.4298654328437
d1_full_minus_no_future,0.25,256.85974296908154,187.18486749048236,-6.46480259391075,268.0966965954625,255.92366307365643,277.8327077151786,0.773109243697479,259.4349614018205
d1_no_future_minus_base,-0.25,256.90184456006904,187.41050801181237,-6.961590610799023,268.07921036390474,255.94537166692672,278.0931584783582,0.7815126050420168,259.4570677877424
d1_broad_minus_no_future,1.75,256.86879681600647,187.0534409070146,2.445619955617485,268.0579729964035,256.06859403115163,276.32825662982515,0.7689075630252101,259.46604016489204
d1_no_future_minus_base,-1.0,256.99520952377617,187.24745348123193,-4.494228070690206,267.96138858947836,255.95327681707897,279.0716202864836,0.7815126050420168,259.47627111352745
d1_effect_minus_base,0.25,256.9133508044081,187.36220172792068,-7.528654727781876,268.07808511516424,256.00207997066013,277.6216283527283,0.773109243697479,259.4767166736601
d2_effect_minus_base,2.75,257.48719399445605,185.3086166819403,21.16924634083344,266.0347247361208,256.91380399119885,274.0879819893009,0.7689075630252101,259.4807291790579
d2_future_ensemble_minus_no_future,4.25,257.92928094752006,186.27986646412538,12.48514513458551,265.460458243671,256.6709680979296,282.1175416546261,0.8067226890756303,259.49749705916014
d1_effect_minus_base,3.0,257.0111427228894,186.5946870863058,-4.719364034194259,267.6673992795542,256.360244209685,274.6400875480752,0.7815126050420168,259.51248223375455
d1_full_minus_no_future,1.25,256.97247845632046,186.52323289218975,-1.1878338062125626,268.1302620312021,255.99654530435657,278.37116208808277,0.7815126050420168,259.5179410620499
d1_future_ensemble_minus_base,0.5,256.94134545860237,187.28675640700587,-6.856641738855253,268.1754728461134,256.0579893644064,277.3455699863175,0.7773109243697479,259.52903828193115
d1_future_ensemble_minus_base,0.25,256.95559796999197,187.39402626372248,-7.320343264845249,268.1808173207758,256.0468569155201,277.63820684551143,0.7773109243697479,259.53471754406996
d1_future_ensemble_minus_base,0.75,256.95588529166105,187.21200086864675,-6.392940212865188,268.19814451362424,256.0970607917267,277.08806933967173,0.773109243697479,259.55174397216825
d1_full_minus_base,0.25,256.9692783026739,187.32897412418427,-7.287256773947021,268.2442655508973,256.05417651100754,277.7214025140484,0.7773109243697479,259.5592496668131
d1_broad_minus_base,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d1_broad_minus_no_future,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d1_effect_minus_base,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d1_effect_minus_no_future,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d1_full_minus_base,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d1_full_minus_no_future,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d1_future_ensemble_minus_base,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d1_future_ensemble_minus_no_future,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d1_no_future_minus_base,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d2_broad_minus_base,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d2_broad_minus_no_future,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d2_effect_minus_base,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d2_effect_minus_no_future,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d2_full_minus_base,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d2_full_minus_no_future,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d2_future_ensemble_minus_base,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d2_future_ensemble_minus_no_future,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
d2_no_future_minus_base,0.0,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
