district_id,state_name,district_name,season_label,season_start_year,season_end_year,area_ha,production_tonnes,yield_ton_per_ha,yield_kg_per_ha,crop,season,source,source_file,proxy_filled,proxy_source_district,proxy_overlap_years,proxy_selection_rmse,proxy_selection_mae
IND013004,Haryana,Faridabad,2011 - 2012,2011,2012,30475.0,150000.0,4.92,4920.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013004,Haryana,Faridabad,2012 - 2013,2012,2013,31055.0,141000.0,4.54,4540.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013004,Haryana,Faridabad,2013 - 2014,2013,2014,30000.0,140000.0,4.67,4670.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013004,Haryana,Faridabad,2014 - 2015,2014,2015,28000.0,93000.0,3.32,3320.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013004,Haryana,Faridabad,2015 - 2016,2015,2016,100000.0,399000.0,3.99,3990.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013004,Haryana,Faridabad,2016 - 2017,2016,2017,30000.0,141000.0,4.7,4700.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013004,Haryana,Faridabad,2017 - 2018,2017,2018,30000.0,133600.0,4.45,4450.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013004,Haryana,Faridabad,2018 - 2019,2018,2019,29600.0,152000.0,5.14,5140.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013004,Haryana,Faridabad,2019 - 2020,2019,2020,30700.0,128800.0,4.2,4200.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013004,Haryana,Faridabad,2020 - 2021,2020,2021,30660.0,103320.0,3.37,3370.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013004,Haryana,Faridabad,2021 - 2022,2021,2022,28646.0,112180.0,3.92,3920.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013004,Haryana,Faridabad,2022 - 2023,2022,2023,28440.0,117700.0,4.14,4140.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013005,Haryana,Fatehabad,2010 - 2011,2010,2011,186622.0,950000.0,5.09,5090.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013005,Haryana,Fatehabad,2011 - 2012,2011,2012,189331.0,1034000.0,5.46,5460.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013005,Haryana,Fatehabad,2012 - 2013,2012,2013,188020.0,880000.0,4.68,4680.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013005,Haryana,Fatehabad,2013 - 2014,2013,2014,189000.0,1005000.0,5.32,5320.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013005,Haryana,Fatehabad,2014 - 2015,2014,2015,190000.0,923000.0,4.86,4860.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013005,Haryana,Fatehabad,2015 - 2016,2015,2016,189000.0,858000.0,4.54,4540.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013005,Haryana,Fatehabad,2016 - 2017,2016,2017,189000.0,995000.0,5.26,5260.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013005,Haryana,Fatehabad,2017 - 2018,2017,2018,188200.0,1013200.0,5.38,5380.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013005,Haryana,Fatehabad,2018 - 2019,2018,2019,187200.0,1008000.0,5.38,5380.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013005,Haryana,Fatehabad,2019 - 2020,2019,2020,191900.0,931500.0,4.85,4850.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013005,Haryana,Fatehabad,2020 - 2021,2020,2021,189790.0,955970.0,5.04,5040.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013005,Haryana,Fatehabad,2021 - 2022,2021,2022,184207.0,859330.0,4.67,4670.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013005,Haryana,Fatehabad,2022 - 2023,2022,2023,182260.0,936570.0,5.14,5140.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013006,Haryana,Gurgaon,2010 - 2011,2010,2011,50833.0,240000.0,4.72,4720.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013006,Haryana,Gurgaon,2011 - 2012,2011,2012,52388.0,258000.0,4.92,4920.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013006,Haryana,Gurgaon,2012 - 2013,2012,2013,44667.0,205000.0,4.59,4590.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013006,Haryana,Gurgaon,2013 - 2014,2013,2014,48000.0,215000.0,4.48,4480.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013006,Haryana,Gurgaon,2014 - 2015,2014,2015,49000.0,155000.0,3.16,3160.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013006,Haryana,Gurgaon,2015 - 2016,2015,2016,50000.0,215000.0,4.3,4300.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013006,Haryana,Gurgaon,2016 - 2017,2016,2017,48000.0,224000.0,4.67,4670.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013006,Haryana,Gurgaon,2017 - 2018,2017,2018,43000.0,211000.0,4.91,4910.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013006,Haryana,Gurgaon,2018 - 2019,2018,2019,43000.0,213000.0,4.95,4950.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013006,Haryana,Gurgaon,2019 - 2020,2019,2020,40600.0,205600.0,5.06,5060.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013006,Haryana,Gurgaon,2020 - 2021,2020,2021,41830.0,198320.0,4.74,4740.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013006,Haryana,Gurgaon,2021 - 2022,2021,2022,36086.0,168630.0,4.67,4670.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
